"","SEX","ANIO","tdhr"
"1",1,2015,14065848
"2",1,2016,13304537
"3",1,2017,12395583
"4",1,2018,12499594
"5",1,2019,13126659
"6",1,2020,44751503
"7",2,2015,21037827
"8",2,2016,20229146
"9",2,2017,19532641
"10",2,2018,19211124
"11",2,2019,19683422
"12",2,2020,50787418
