"","SEX","EDA","NIV_INS","fit","se.fit","residual.scale","UL","LL","PredictedProb"
"1",1.46309673598078,15,"1",-1.91900892253516,0.0123266215806571,1,0.130692606542962,0.125300110442834,0.127972125093737
"2",1.46309673598078,20.5555555555556,"1",-1.86860410252588,0.0114012484100343,1,0.136312890157587,0.131136126389055,0.133703322138146
"3",1.46309673598078,26.1111111111111,"1",-1.81819928251659,0.010547607888493,1,0.142152493745354,0.137184683464847,0.139650085099729
"4",1.46309673598078,31.6666666666667,"1",-1.76779446250731,0.00978449284219632,1,0.148221737783387,0.143444358084705,0.145816823529238
"5",1.46309673598078,37.2222222222222,"1",-1.71738964249802,0.00913461927701876,1,0.1545324359658,0.149911735181045,0.152207699815916
"6",1.46309673598078,42.7777777777778,"1",-1.66698482248874,0.00862362682638085,1,0.161097797897967,0.156581434473543,0.158826594424051
"7",1.46309673598078,48.3333333333333,"1",-1.61658000247946,0.00827727679208379,1,0.167931789387075,0.163446676478176,0.165677069852337
"8",1.46309673598078,53.8888888888889,"1",-1.56617518247017,0.0081166731911765,1,0.175047780182114,0.170500558787131,0.172762333500797
"9",1.46309673598078,59.4444444444444,"1",-1.51577036246089,0.00815280058872155,1,0.182456716382139,0.177737805857196,0.180085199663864
"10",1.46309673598078,65,"1",-1.46536554245161,0.00838311590842299,1,0.190165580833733,0.18515622951645,0.18764805090304
"11",1.46309673598078,15,"2",-2.01243216298538,0.0110024822289005,1,0.120165136781211,0.115679406827665,0.117903791642417
"12",1.46309673598078,20.5555555555556,"2",-1.9620273429761,0.0101201966358575,1,0.125407266490566,0.12112038870494,0.123247809989219
"13",1.46309673598078,26.1111111111111,"2",-1.91162252296682,0.00932753160525734,1,0.130864049787183,0.126761152574079,0.128798679846471
"14",1.46309673598078,31.6666666666667,"2",-1.86121770295753,0.00864916255444581,1,0.136547618326437,0.132599205472729,0.134561181885158
"15",1.46309673598078,37.2222222222222,"2",-1.81081288294825,0.00811380805090196,1,0.142471819577113,0.138629962350618,0.140539910174727
"16",1.46309673598078,42.7777777777778,"2",-1.76040806293896,0.00775115800561673,1,0.148651642942939,0.144847254514014,0.146739240166647
"17",1.46309673598078,48.3333333333333,"2",-1.71000324292968,0.00758602141551762,1,0.155101777753843,0.151244703010503,0.153163295142688
"18",1.46309673598078,53.8888888888889,"2",-1.6595984229204,0.00763123139164634,1,0.161834521367098,0.157817738976425,0.159815911254035
"19",1.46309673598078,59.4444444444444,"2",-1.60919360291111,0.00788316975185146,1,0.168857992067648,0.164565316586043,0.166700601308209
"20",1.46309673598078,65,"2",-1.55878878290183,0.00832308472068284,1,0.17617569269105,0.171490273076987,0.173820517493448
"21",1.46309673598078,15,"3",-2.21153559682129,0.0100201915187643,1,0.100480593240287,0.0969856712949753,0.0987193610029271
"22",1.46309673598078,20.5555555555556,"3",-2.16113077681201,0.00917535612314639,1,0.104973341275304,0.101641757313214,0.103295665503152
"23",1.46309673598078,26.1111111111111,"3",-2.11072595680273,0.0084374630694246,1,0.109662949879664,0.106475067912857,0.108058677682453
"24",1.46309673598078,31.6666666666667,"3",-2.06032113679344,0.00783677913793344,1,0.114562530213957,0.111483043977296,0.11301363482032
"25",1.46309673598078,37.2222222222222,"3",-2.00991631678416,0.00740676262702502,1,0.119686837973842,0.116661327769785,0.118165697536419
"26",1.46309673598078,42.7777777777778,"3",-1.95951149677487,0.00717815151114416,1,0.125051177800868,0.122004806929728,0.123519924543372
"27",1.46309673598078,48.3333333333333,"3",-1.90910667676559,0.00717023617242059,1,0.130669400802338,0.127509561685808,0.129081245626869
"28",1.46309673598078,53.8888888888889,"3",-1.85870185675631,0.0073837264011566,1,0.136551814684015,0.133174895834119,0.13485443287839
"29",1.46309673598078,59.4444444444444,"3",-1.80829703674702,0.00780046444216537,1,0.142704314229265,0.139004143846618,0.140844070227859
"30",1.46309673598078,65,"3",-1.75789221673774,0.00839021910365494,1,0.149129182749728,0.145003803635994,0.147054521348034
"31",1.46309673598078,15,"4",-2.41224568357804,0.0101807778537374,1,0.0837624108406684,0.0807500111275312,0.082243655649867
"32",1.46309673598078,20.5555555555556,"4",-2.36184086356876,0.00936290898026838,1,0.0875846498230089,0.0846956674536448,0.086129187937297
"33",1.46309673598078,26.1111111111111,"4",-2.31143604355948,0.00865451284509603,1,0.0915817238680163,0.0887981287390495,0.0901802511639388
"34",1.46309673598078,31.6666666666667,"4",-2.26103122355019,0.00808441845444526,1,0.0957655408010122,0.0930562160563583,0.094402172352615
"35",1.46309673598078,37.2222222222222,"4",-2.21062640354091,0.00768347265594918,1,0.100149299185989,0.0974674737495826,0.0988002849472069
"36",1.46309673598078,42.7777777777778,"4",-2.16022158353163,0.00747892930240441,1,0.104746583547472,0.102029036851903,0.103379910520575
"37",1.46309673598078,48.3333333333333,"4",-2.10981676352234,0.00748690297209125,1,0.109569848190036,0.10673910638295,0.108146338781106
"38",1.46309673598078,53.8888888888889,"4",-2.05941194351306,0.00770673405951932,1,0.114628918309187,0.111598403748901,0.113104805838696
"39",1.46309673598078,59.4444444444444,"4",-2.00900712350377,0.00812123665227792,1,0.11993039166933,0.116610720913989,0.118260470703772
"40",1.46309673598078,65,"4",-1.95860230349449,0.00870263872672825,1,0.12547820579221,0.121782301376368,0.123618390007991
